BarCode,PlateType,Style,Fluid,Conc,Vol,Version,Filename,Arena Part Number
615f6b2#########,384PPL_PLUS_AQ_BP,FF,PBS,100,20,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_BP\\001-14286__615f6b2__384PPL_PLUS_AQ_BP__FF__100__PBS__20uL__v2.csv,001-14286
615f6c2#########,384PPL_PLUS_AQ_BP,FF,PBS,100,30,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_BP\\001-14287__615f6c2__384PPL_PLUS_AQ_BP__FF__100__PBS__30uL__v2.csv,001-14287
615f682#########,384PPL_PLUS_AQ_BP,FF,PBS,100,40,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_BP\\001-14288__615f682__384PPL_PLUS_AQ_BP__FF__100__PBS__40uL__v2.csv,001-14288
615f6a2#########,384PPL_PLUS_AQ_BP,FF,PBS,100,65,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_BP\\001-14289__615f6a2__384PPL_PLUS_AQ_BP__FF__100__PBS__65uL__v2.csv,001-14289
616B693#########,384PPL_PLUS_AQ_BP,DD,PBS-DF,100,60,3,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_BP\\001-14290__616B692__384PPL_PLUS_AQ_BP__DD__100__PBS-DF__60uL__v2.csv,001-14290
3339--2#########,384PPG_PLUS_AQ_GPSA,ICP,GPS14,-,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_PLUS_AQ_GPSA\\001-14291__3339--2__384PPG_PLUS_AQ_GPSA__ICP__-__GPS14__v2.csv,001-14291
3349b-2#########,384PPG_PLUS_AQ_GPSA,FT,GPS14,10,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_PLUS_AQ_GPSA\\001-14292__3349b-2__384PPG_PLUS_AQ_GPSA__FT__10__GPS14__v2.csv,001-14292
3349c-2#########,384PPG_PLUS_AQ_GPSA,FT,GPS14,20,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_PLUS_AQ_GPSA\\001-14293__3349c-2__384PPG_PLUS_AQ_GPSA__FT__20__GPS14__v2.csv,001-14293
3349d-2#########,384PPG_PLUS_AQ_GPSA,FT,GPS14,30,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_PLUS_AQ_GPSA\\001-14294__3349d-2__384PPG_PLUS_AQ_GPSA__FT__30__GPS14__v2.csv,001-14294
3349e-2#########,384PPG_PLUS_AQ_GPSA,FT,GPS14,40,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_PLUS_AQ_GPSA\\001-14295__3349e-2__384PPG_PLUS_AQ_GPSA__FT__40__GPS14__v2.csv,001-14295
3349f-2#########,384PPG_PLUS_AQ_GPSA,FT,GPS14,50,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_PLUS_AQ_GPSA\\001-14296__3349f-2__384PPG_PLUS_AQ_GPSA__FT__50__GPS14__v2.csv,001-14296
336E-92#########,384PPG_PLUS_AQ_GPSA,DD,GPS14-DF,-,60,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_PLUS_AQ_GPSA\\001-14297__336E-92__384PPG_PLUS_AQ_GPSA__DD__-__GPS14-DF__60uL__v2.csv,001-14297
343a--2#########,384PPG_PLUS_AQ_GPSB,ICP,GPS25,-,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_PLUS_AQ_GPSB\\001-14298__343a--2__384PPG_PLUS_AQ_GPSB__ICP__-__GPS25__v2.csv,001-14298
344ab-2#########,384PPG_PLUS_AQ_GPSB,FT,GPS25,10,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_PLUS_AQ_GPSB\\001-14299__344ab-2__384PPG_PLUS_AQ_GPSB__FT__10__GPS25__v2.csv,001-14299
344ac-2#########,384PPG_PLUS_AQ_GPSB,FT,GPS25,20,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_PLUS_AQ_GPSB\\001-14300__344ac-2__384PPG_PLUS_AQ_GPSB__FT__20__GPS25__v2.csv,001-14300
344ad-2#########,384PPG_PLUS_AQ_GPSB,FT,GPS25,30,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_PLUS_AQ_GPSB\\001-14301__344ad-2__384PPG_PLUS_AQ_GPSB__FT__30__GPS25__v2.csv,001-14301
344ae-2#########,384PPG_PLUS_AQ_GPSB,FT,GPS25,40,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_PLUS_AQ_GPSB\\001-14302__344ae-2__384PPG_PLUS_AQ_GPSB__FT__40__GPS25__v2.csv,001-14302
344af-2#########,384PPG_PLUS_AQ_GPSB,FT,GPS25,50,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_PLUS_AQ_GPSB\\001-14303__344af-2__384PPG_PLUS_AQ_GPSB__FT__50__GPS25__v2.csv,001-14303
346F-92#########,384PPG_PLUS_AQ_GPSB,DD,GPS25-DF,-,60,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_PLUS_AQ_GPSB\\001-14304__346F-92__384PPG_PLUS_AQ_GPSB__DD__-__GPS25-DF__60uL__v2.csv,001-14304
6339--2#########,384PPL_PLUS_AQ_GPSA,ICP,GPS14,-,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GPSA\\001-14305__6339--2__384PPL_PLUS_AQ_GPSA__ICP__-__GPS14__v2.csv,001-14305
6349b-2#########,384PPL_PLUS_AQ_GPSA,FT,GPS14,10,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GPSA\\001-14306__6349b-2__384PPL_PLUS_AQ_GPSA__FT__10__GPS14__v2.csv,001-14306
6349c-2#########,384PPL_PLUS_AQ_GPSA,FT,GPS14,20,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GPSA\\001-14307__6349c-2__384PPL_PLUS_AQ_GPSA__FT__20__GPS14__v2.csv,001-14307
6349d-2#########,384PPL_PLUS_AQ_GPSA,FT,GPS14,30,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GPSA\\001-14308__6349d-2__384PPL_PLUS_AQ_GPSA__FT__30__GPS14__v2.csv,001-14308
6349e-2#########,384PPL_PLUS_AQ_GPSA,FT,GPS14,40,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GPSA\\001-14309__6349e-2__384PPL_PLUS_AQ_GPSA__FT__40__GPS14__v2.csv,001-14309
6349f-2#########,384PPL_PLUS_AQ_GPSA,FT,GPS14,50,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GPSA\\001-14310__6349f-2__384PPL_PLUS_AQ_GPSA__FT__50__GPS14__v2.csv,001-14310
636E-93#########,384PPL_PLUS_AQ_GPSA,DD,GPS14-DF,-,60,3,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GPSA\\001-14311__636E-92__384PPL_PLUS_AQ_GPSA__DD__-__GPS14-DF__60uL__v2.csv,001-14311
643a--2#########,384PPL_PLUS_AQ_GPSB,ICP,GPS25,-,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GPSB\\001-14312__643a--2__384PPL_PLUS_AQ_GPSB__ICP__-__GPS25__v2.csv,001-14312
644ab-2#########,384PPL_PLUS_AQ_GPSB,FT,GPS25,10,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GPSB\\001-14313__644ab-2__384PPL_PLUS_AQ_GPSB__FT__10__GPS25__v2.csv,001-14313
644ac-2#########,384PPL_PLUS_AQ_GPSB,FT,GPS25,20,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GPSB\\001-14314__644ac-2__384PPL_PLUS_AQ_GPSB__FT__20__GPS25__v2.csv,001-14314
644ad-2#########,384PPL_PLUS_AQ_GPSB,FT,GPS25,30,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GPSB\\001-14315__644ad-2__384PPL_PLUS_AQ_GPSB__FT__30__GPS25__v2.csv,001-14315
644ae-2#########,384PPL_PLUS_AQ_GPSB,FT,GPS25,40,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GPSB\\001-14316__644ae-2__384PPL_PLUS_AQ_GPSB__FT__40__GPS25__v2.csv,001-14316
644af-2#########,384PPL_PLUS_AQ_GPSB,FT,GPS25,50,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GPSB\\001-14317__644af-2__384PPL_PLUS_AQ_GPSB__FT__50__GPS25__v2.csv,001-14317
646F-93#########,384PPL_PLUS_AQ_GPSB,DD,GPS25-DF,-,60,3,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GPSB\\001-14318__646F-92__384PPL_PLUS_AQ_GPSB__DD__-__GPS25-DF__60uL__v2.csv,001-14318
6201a-2#########,384PPL_PLUS_AQ_GP,SIG,GLY,0,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GP\\001-14424__6201a-2__384PPL_PLUS_AQ_GP__SIG__0__GLY__v2.csv,001-14424
6201b-2#########,384PPL_PLUS_AQ_GP,SIG,GLY,10,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GP\\001-14425__6201b-2__384PPL_PLUS_AQ_GP__SIG__10__GLY__v2.csv,001-14425
6201c-2#########,384PPL_PLUS_AQ_GP,SIG,GLY,20,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GP\\001-14426__6201c-2__384PPL_PLUS_AQ_GP__SIG__20__GLY__v2.csv,001-14426
6201d-2#########,384PPL_PLUS_AQ_GP,SIG,GLY,30,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GP\\001-14427__6201d-2__384PPL_PLUS_AQ_GP__SIG__30__GLY__v2.csv,001-14427
6201e-2#########,384PPL_PLUS_AQ_GP,SIG,GLY,40,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GP\\001-14428__6201e-2__384PPL_PLUS_AQ_GP__SIG__40__GLY__v2.csv,001-14428
6201f-2#########,384PPL_PLUS_AQ_GP,SIG,GLY,50,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GP\\001-14429__6201f-2__384PPL_PLUS_AQ_GP__SIG__50__GLY__v2.csv,001-14429
6201g-2#########,384PPL_PLUS_AQ_GP,SIG,GLY,55,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GP\\001-14430__6201g-2__384PPL_PLUS_AQ_GP__SIG__55__GLY__v2.csv,001-14430
6231--2#########,384PPL_PLUS_AQ_GP,ICP,GLY,-,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GP\\001-14368__6231--2__384PPL_PLUS_AQ_GP__ICP__-__GLY__v2.csv,001-14368
6241b-2#########,384PPL_PLUS_AQ_GP,FT,GLY,10,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GP\\001-14431__6241b-2__384PPL_PLUS_AQ_GP__FT__10__GLY__v2.csv,001-14431
6241c-2#########,384PPL_PLUS_AQ_GP,FT,GLY,20,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GP\\001-14432__6241c-2__384PPL_PLUS_AQ_GP__FT__20__GLY__v2.csv,001-14432
6241d-2#########,384PPL_PLUS_AQ_GP,FT,GLY,30,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GP\\001-14433__6241d-2__384PPL_PLUS_AQ_GP__FT__30__GLY__v2.csv,001-14433
6241e-2#########,384PPL_PLUS_AQ_GP,FT,GLY,40,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GP\\001-14434__6241e-2__384PPL_PLUS_AQ_GP__FT__40__GLY__v2.csv,001-14434
6241f-2#########,384PPL_PLUS_AQ_GP,FT,GLY,50,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GP\\001-14435__6241f-2__384PPL_PLUS_AQ_GP__FT__50__GLY__v2.csv,001-14435
626A-93#########,384PPL_PLUS_AQ_GP,DD,GLY-DF,-,60,3,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_PLUS_AQ_GP\\001-14369__626A-92__384PPL_PLUS_AQ_GP__DD__-__GLY-DF__60uL__v2.csv,001-14369
565f6b2#########,384PPL_AQ_BP,FF,PBS,100,20,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_BP\\001-14333__565f6b2__384PPL_AQ_BP__FF__100__PBS__20uL__v2.csv,001-14333
565f6c2#########,384PPL_AQ_BP,FF,PBS,100,30,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_BP\\001-14334__565f6c2__384PPL_AQ_BP__FF__100__PBS__30uL__v2.csv,001-14334
565f682#########,384PPL_AQ_BP,FF,PBS,100,40,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_BP\\001-14335__565f682__384PPL_AQ_BP__FF__100__PBS__40uL__v2.csv,001-14335
565f6a2#########,384PPL_AQ_BP,FF,PBS,100,65,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_BP\\001-14336__565f6a2__384PPL_AQ_BP__FF__100__PBS__65uL__v2.csv,001-14336
566B693#########,384PPL_AQ_BP,DD,PBS-DF,100,60,3,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_BP\\001-14337__566B692__384PPL_AQ_BP__DD__100__PBS-DF__60uL__v2.csv,001-14337
25456-2#########,384PPG_AQ_SP_High,FT,PBS200,100,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_AQ_SP_High\\001-14338__25456-2__384PPG_AQ_SP_High__FT__100__PBS200__v2.csv,001-14338
25556b2#########,384PPG_AQ_SP_High,FF,PBS200,100,20,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_AQ_SP_High\\001-14339__25556b2__384PPG_AQ_SP_High__FF__100__PBS200__20uL__v2.csv,001-14339
25556c2#########,384PPG_AQ_SP_High,FF,PBS200,100,30,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_AQ_SP_High\\001-14340__25556c2__384PPG_AQ_SP_High__FF__100__PBS200__30uL__v2.csv,001-14340
2555682#########,384PPG_AQ_SP_High,FF,PBS200,100,40,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_AQ_SP_High\\001-14341__2555682__384PPG_AQ_SP_High__FF__100__PBS200__40uL__v2.csv,001-14341
25556a2#########,384PPG_AQ_SP_High,FF,PBS200,100,65,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_AQ_SP_High\\001-14342__25556a2__384PPG_AQ_SP_High__FF__100__PBS200__65uL__v2.csv,001-14342
256D692#########,384PPG_AQ_SP_High,DD,PBS200-DF,100,60,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_AQ_SP_High\\001-14343__256D692__384PPG_AQ_SP_High__DD__100__PBS200-DF__60uL__v2.csv,001-14343
27446-2#########,384PPG_AQ_SP,FT,PBS14,100,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_AQ_SP\\001-14344__27446-2__384PPG_AQ_SP__FT__100__PBS14__v2.csv,001-14344
27546b2#########,384PPG_AQ_SP,FF,PBS14,100,20,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_AQ_SP\\001-14345__27546b2__384PPG_AQ_SP__FF__100__PBS14__20uL__v2.csv,001-14345
27546c2#########,384PPG_AQ_SP,FF,PBS14,100,30,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_AQ_SP\\001-14346__27546c2__384PPG_AQ_SP__FF__100__PBS14__30uL__v2.csv,001-14346
2754682#########,384PPG_AQ_SP,FF,PBS14,100,40,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_AQ_SP\\001-14347__2754682__384PPG_AQ_SP__FF__100__PBS14__40uL__v2.csv,001-14347
27546a2#########,384PPG_AQ_SP,FF,PBS14,100,65,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_AQ_SP\\001-14348__27546a2__384PPG_AQ_SP__FF__100__PBS14__65uL__v2.csv,001-14348
276C692#########,384PPG_AQ_SP,DD,PBS14-DF,100,60,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPG_AQ_SP\\001-14349__276C692__384PPG_AQ_SP__DD__100__PBS14-DF__60uL__v2.csv,001-14349
55456-2#########,384PPL_AQ_SP_High,FT,PBS200,100,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_SP_High\\001-14350__55456-2__384PPL_AQ_SP_High__FT__100__PBS200__v2.csv,001-14350
55556b2#########,384PPL_AQ_SP_High,FF,PBS200,100,20,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_SP_High\\001-14351__55556b2__384PPL_AQ_SP_High__FF__100__PBS200__20uL__v2.csv,001-14351
55556c2#########,384PPL_AQ_SP_High,FF,PBS200,100,30,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_SP_High\\001-14352__55556c2__384PPL_AQ_SP_High__FF__100__PBS200__30uL__v2.csv,001-14352
5555682#########,384PPL_AQ_SP_High,FF,PBS200,100,40,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_SP_High\\001-14353__5555682__384PPL_AQ_SP_High__FF__100__PBS200__40uL__v2.csv,001-14353
55556a2#########,384PPL_AQ_SP_High,FF,PBS200,100,65,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_SP_High\\001-14354__55556a2__384PPL_AQ_SP_High__FF__100__PBS200__65uL__v2.csv,001-14354
556D693#########,384PPL_AQ_SP_High,DD,PBS200-DF,100,60,3,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_SP_High\\001-14355__556D692__384PPL_AQ_SP_High__DD__100__PBS200-DF__60uL__v2.csv,001-14355
57446-2#########,384PPL_AQ_SP,FT,PBS14,100,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_SP\\001-14356__57446-2__384PPL_AQ_SP__FT__100__PBS14__v2.csv,001-14356
57546b2#########,384PPL_AQ_SP,FF,PBS14,100,20,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_SP\\001-14357__57546b2__384PPL_AQ_SP__FF__100__PBS14__20uL__v2.csv,001-14357
57546c2#########,384PPL_AQ_SP,FF,PBS14,100,30,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_SP\\001-14358__57546c2__384PPL_AQ_SP__FF__100__PBS14__30uL__v2.csv,001-14358
5754682#########,384PPL_AQ_SP,FF,PBS14,100,40,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_SP\\001-14359__5754682__384PPL_AQ_SP__FF__100__PBS14__40uL__v2.csv,001-14359
57546a2#########,384PPL_AQ_SP,FF,PBS14,100,65,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_SP\\001-14360__57546a2__384PPL_AQ_SP__FF__100__PBS14__65uL__v2.csv,001-14360
576C693#########,384PPL_AQ_SP,DD,PBS14-DF,100,60,3,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\384PPL_AQ_SP\\001-14361__576C692__384PPL_AQ_SP__DD__100__PBS14-DF__60uL__v2.csv,001-14361
4131--2#########,6RESP_AQ_BP2,ICP,GLY,-,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\6RESP_AQ_BP2\\001-14240__4131--2__6RESP_AQ_BP2__ICP__-__GLY__v2.csv,001-14240
4237--2#########,6RESP_AQ_GPSA2,ICP,GPS30,-,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\6RESP_AQ_GPSA2\\001-14241__4237--2__6RESP_AQ_GPSA2__ICP__-__GPS30__v2.csv,001-14241
4338--2#########,6RESP_AQ_GPSB2,ICP,GPS50,-,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\6RESP_AQ_GPSB2\\001-14242__4338--2__6RESP_AQ_GPSB2__ICP__-__GPS50__v2.csv,001-14242
4161-d2#########,6RESP_AQ_BP2,DD,GLY,-,2000,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\6RESP_AQ_BP2\\001-14243__4161-d2__6RESP_AQ_BP2__DD__-__GLY__2000uL__v2.csv,001-14243
426e-d2#########,6RESP_AQ_GPSA2,DD,GPS5,-,2000,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\6RESP_AQ_GPSA2\\001-14244__426e-d2__6RESP_AQ_GPSA2__DD__-__GPS5__2000uL__v2.csv,001-14244
4367-d2#########,6RESP_AQ_GPSB2,DD,GPS30,-,2000,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\6RESP_AQ_GPSB2\\001-14245__4367-d2__6RESP_AQ_GPSB2__DD__-__GPS30__2000uL__v2.csv,001-14245
4368-d2#########,6RESP_AQ_GPSB2,DD,GPS50,-,2000,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\6RESP_AQ_GPSB2\\001-14246__4368-d2__6RESP_AQ_GPSB2__DD__-__GPS50__2000uL__v2.csv,001-14246
416G-e2#########,6RESP_AQ_BP2,DD,GLY-T,-,2172,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\6RESP_AQ_BP2\\001-14247__416G-e2__6RESP_AQ_BP2__DD__-__GLY-T__2172uL__v2.csv,001-14247
426H-e2#########,6RESP_AQ_GPSA2,DD,GPS10-T,-,2172,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\6RESP_AQ_GPSA2\\001-14248__426H-e2__6RESP_AQ_GPSA2__DD__-__GPS10-T__2172uL__v2.csv,001-14248
436I-e2#########,6RESP_AQ_GPSB2,DD,GPS50-T,-,2172,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\6RESP_AQ_GPSB2\\001-14249__436I-e2__6RESP_AQ_GPSB2__DD__-__GPS50-T__2172uL__v2.csv,001-14249
4101a-2#########,6RESP_AQ_BP2,SIG,GLY,0,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\6RESP_AQ_BP2\\001-14250__4101a-2__6RESP_AQ_BP2__SIG__0__GLY__v2.csv,001-14250
4101b-2#########,6RESP_AQ_BP2,SIG,GLY,10,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\6RESP_AQ_BP2\\001-14251__4101b-2__6RESP_AQ_BP2__SIG__10__GLY__v2.csv,001-14251
4101c-2#########,6RESP_AQ_BP2,SIG,GLY,20,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\6RESP_AQ_BP2\\001-14252__4101c-2__6RESP_AQ_BP2__SIG__20__GLY__v2.csv,001-14252
4101d-2#########,6RESP_AQ_BP2,SIG,GLY,30,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\6RESP_AQ_BP2\\001-14253__4101d-2__6RESP_AQ_BP2__SIG__30__GLY__v2.csv,001-14253
4101e-2#########,6RESP_AQ_BP2,SIG,GLY,40,-,2,\\fserver\people\Arne\PYTHON\pyCyte\PlateQC\PlateMaps\\6RESP_AQ_BP2\\001-14254__4101e-2__6RESP_AQ_BP2__SIG__40__GLY__v2.csv,001-14254
